"str","count","o1","p1","o2","p2","o3","p3","minp"
"bla","78",-0.000210748769876564,0.988525032543998,-0.000171689112111085,0.960394701533543,-3.45316885917142e-05,0.822380826625036,0.822380826625036
"ble","89",0.00169834322768447,0.00867769158724818,-0.000278573479634662,0.908450348670142,0.000591150683525589,0.321305127184421,0.00867769158724818
"blE","77",0.000334229692055166,0.469169951811888,8.86380751281454e-05,0.713806738935144,-0.000360769959231819,0.783432224126839,0.469169951811888
"blI","651",0.0807160685828316,0,0.0574951394539955,0,0.106121105516046,0,0
"bra","86",0.000448707603334905,0.432341815429639,0.000312137203049764,0.462083546441018,-0.000270553521973652,0.917023550296629,0.432341815429639
"bri","66",0.000867624593237394,0.129728687789767,-0.000427980825256805,0.751367828341228,-0.000283473051827053,0.884630163371441,0.129728687789767
"brA","63",0.000155209324177225,0.64239218393312,-0.000257050451954772,0.92100051987313,-0.000236054515314299,0.958177160272474,0.64239218393312
"brE","62",-0.000243113730204824,0.948700497559777,-0.00014327735598229,0.936557824037148,8.33349345024658e-05,0.679123923526661,0.679123923526661
"bwa","87",0.00223044211183829,0.00110702930866546,-5.2865427464606e-05,0.836005029202853,-0.000333574304524581,0.838256376272717,0.00110702930866546
"bwe","70",0.00167198297061013,0.01375410641863,-0.000199454105373135,0.978370346068203,-0.000188124194262177,0.585158086484211,0.01375410641863
"bwA","98",0.00101817482262235,0.0499596986458297,0.00443510583359437,4.44089209850063e-16,0.00287158179444225,1.79409021194843e-07,4.44089209850063e-16
"bwE","60",-0.000376003301938675,0.787442651864545,0.000330202955529721,0.350555141423862,-0.000186914945386128,0.52684459498628,0.350555141423862
"bab","231",0.00160018095514238,0.0241566971744207,0.000517684048046172,0.336751889534815,0.00440547445820284,2.33741546118438e-08,2.33741546118438e-08
"bad","342",0.00185423551437317,0.00872251736376062,0.000384156962365246,0.421446502897495,-0.000599999001348524,0.611985136564607,0.00872251736376062
"baf","65",NA,NA,-0.000228507808895106,0.968037604037888,-0.000159184537575254,0.953398791234156,0.953398791234156
"bag","241",0.000274070702839385,0.553821318552571,5.92381684195298e-05,0.746839830788663,-0.000549528103860545,0.67474295808816,0.553821318552571
"bah","58",9.05153050165644e-06,0.7507970850512,0.000903975674354024,0.0534376364836133,0.00241871090554544,6.67427001381782e-05,6.67427001381782e-05
"baj","144",0.000373170115676312,0.456666461578823,-0.000241162322767305,0.954761697961754,0.00253233554209464,0.000176385804179668,0.000176385804179668
"bak","466",-0.000670927757703565,0.57181984025671,-0.000481484417698388,0.743406625808087,-0.000769962843374002,0.495951144857811,0.495951144857811
"bal","651",0.000597665486454613,0.326939295752802,0.000885508180392433,0.180678910373391,0.000482560881393547,0.373821456771372,0.180678910373391
"bam","175",0.000166452610045769,0.63164062390895,-0.000319822785174416,0.868873949479184,-0.000341917255639894,0.856820599677891,0.63164062390895
"ban","953",-0.000459932411076525,0.749157687350437,0.00397037620747982,6.44188821397051e-07,0.00191203625787715,0.00717130537460831,6.44188821397051e-07
"bar","736",0.000422426500638881,0.443023402251236,0.00015104361712101,0.671279989815904,-0.000543575789920588,0.667559283119811,0.443023402251236
"bas","228",-0.000159474963037914,0.954715254966467,-0.000214660386858073,0.985622485791059,0.000169326289462487,0.635232331070188,0.635232331070188
"bat","275",-0.000194441843300927,0.994613644986625,-0.000773767476000793,0.506042397655361,-0.000256795133369715,0.942543696059355,0.506042397655361
"baw","147",-0.000292212905242828,0.907706893927231,4.57738607591527e-05,0.720114919110643,-1.15992956562801e-05,0.819738331477678,0.720114919110643
"bay","283",0.00120999051388499,0.0728662534687228,0.0138862322632521,0,0.00152278278141458,0.045616957685795,0
"bai","126",0.00102947559782578,0.0920192389059107,0.00342427699491547,9.44760766263819e-06,0.00243382478085847,0.000213544758011164,9.44760766263819e-06
"bao","63",-0.000310328955748179,0.871763972835455,-0.000208900971414149,0.987812966553926,-0.000286561872023832,0.882506242169403,0.871763972835455
"baL","56",-0.000184724975684433,0.494045991094082,NA,NA,-0.000218327728896478,0.974561425070915,0.494045991094082
"baM","54",-0.000268645808751664,0.909177092912126,NA,NA,0.000519191464501798,0.223437430867382,0.223437430867382
"baN","168",-0.000202234197389169,0.997600130010081,-0.000438009864806376,0.762359862873535,-0.000187356078307028,0.98601186230258,0.762359862873535
"baR","69",-0.000229761972751092,0.966503200838128,-0.000407279276816621,0.763776242206386,0.00036533460058179,0.320037624218349,0.320037624218349
"baI","86",0.0218397580880472,0,NA,NA,5.42264957827763e-06,0.794126528344387,0
"beb","72",-0.000501184763213515,0.683492725789533,0.000771148980523176,0.219413405928452,-0.000100765443897873,0.85845528796845,0.219413405928452
"bed","177",0.000957273621239925,0.130891588342327,2.91836659933879e-05,0.769778558382967,0.00035476909096428,0.478686633648749,0.130891588342327
"beg","103",8.35896937497293e-05,0.712548528208606,-0.000371108573454237,0.779554883061568,-2.75117715543236e-05,0.83435864367327,0.712548528208606
"bej","63",-0.000292119009998671,0.873826004077974,-0.000424868654091526,0.743876461303815,-6.47857606984618e-06,0.776742795775169,0.743876461303815
"bek","139",-8.40068622289455e-05,0.871140809561861,0.000141087146473351,0.656401178200437,-0.000437250957018491,0.735327050796379,0.656401178200437
"bel","327",-4.59404782885154e-05,0.848473336670845,-0.000267341622064622,0.9352199531465,-0.000501748869445192,0.713072656550501,0.713072656550501
"bem","108",0.000198868608562395,0.60219143250127,0.00143229220787637,0.0304777857117486,0.000830736578875097,0.161033038098638,0.0304777857117486
"ben","709",0.00729305240791765,0,0.0266391496938599,0,0.0281502937893773,0,0
"ber","462",0.00032205449663013,0.539013984616181,6.56660367467571e-05,0.747972600714038,-0.000871082170574877,0.384235076434834,0.384235076434834
"bes","111",-0.000278538190363184,0.91292779521316,0.00118266900186138,0.049098610338026,-0.000373429625684307,0.800254869028224,0.049098610338026
"bet","130",-0.000312046198125767,0.875847469602676,-0.000371348937612208,0.814085339152277,-0.000311487196334026,0.877796147288273,0.814085339152277
"bey","65",0.000333823879442422,0.516771026799316,0.0032939442119862,2.40848180821374e-06,NA,NA,2.40848180821374e-06
"beL","143",0.00121220619187181,0.0570983500309852,0.00875831246532012,0,0.00267548959537235,9.03672008398804e-05,0
"beN","60",-0.000497592320316954,0.679804021989529,0.00243975581640676,0.000161527934573025,0.00154322560826912,0.0170836639168039,0.000161527934573025
"beR","112",0.000258738583955065,0.51113348170694,-0.00023466286036558,0.96236605669704,0.000117302120011936,0.662321946210191,0.51113348170694
"bid","70",-0.000361749749451029,0.777167087799274,-0.000416874486510728,0.747991708970613,-0.000356731555395534,0.816620112657623,0.747991708970613
"big","55",-0.000312690929591637,0.850369431654669,NA,NA,-0.000389467755223164,0.767581751216454,0.767581751216454
"bij","56",-0.000323247981696296,0.834661072481012,-5.35475864798294e-05,0.827394134520917,-0.000216159058087399,0.977245788648845,0.827394134520917
"bik","87",0.00026132896504866,0.489182040142695,-0.000206781988354038,0.752195274286141,-0.000207144788107049,0.745052039371715,0.489182040142695
"bil","209",-0.000170549822056651,0.970403762820359,-0.000302828412148527,0.896214280613857,6.61530193618274e-05,0.738867783310587,0.738867783310587
"bin","267",0.000494467473344379,0.406410241716542,-0.000210955110918141,0.988628465238312,0.00157343492133471,0.0211543793813622,0.0211543793813622
"bir","281",0.00368943941906057,6.05817619181437e-07,0.000894650470435293,0.175530942832361,0.000820843855548173,0.228510441054075,6.05817619181437e-07
"bis","97",-0.000196393866270054,0.995981555079949,0.000102904486047062,0.5876449109393,0.00041544284395621,0.424759239506888,0.424759239506888
"bit","66",-0.000241661564429989,0.949914543756035,0.00104966641009666,0.11000162572868,-0.000250984238151857,0.944882183859057,0.11000162572868
"biy","55",0.00125368637942152,0.0106571608189963,-0.000206681429475533,0.751883870527618,-0.000115267956350361,0.89235759986566,0.0106571608189963
"bia","213",0.00575309563114525,1.43662859386495e-13,0.00146903199502014,0.0209668906479614,0.0120762323619811,0,0
"bie","63",0.000133091565263757,0.639917956726969,-0.000307068464692639,0.856966958258103,-0.000280065994980332,0.899109845590206,0.639917956726969
"bio","68",-0.000182112503347854,0.401021960700415,-0.000227753253139984,0.19837571493388,-0.000199851206823124,0.992812906537425,0.19837571493388
"biN","60",-4.68505009691453e-05,0.837400566724168,-0.00037945386307994,0.806586422548548,-0.000112477185027687,0.895654795246237,0.806586422548548
"biA","162",-0.000202147254175663,0.997109967403891,9.51393139632623e-05,0.692082333798728,0.000920309495894997,0.128535629009927,0.128535629009927
"biO","86",0.00583837327118038,2.1094237467878e-14,0.0194074448772005,0,-0.000209176676056572,0.661040196889307,0
"bob","96",0.00068942132397508,0.171931754601119,-0.000344548631333893,0.801375405511042,-0.000408220714165162,0.785243419117556,0.171931754601119
"bod","179",0.000331523183874144,0.489912136951573,-0.000373690948992505,0.807983524853468,0.00291052740892212,5.6755608955239e-05,5.6755608955239e-05
"bog","200",0.000219033599454504,0.600507937916903,0.00292207127215642,0.000115086472887604,-0.000222736513214053,0.977429913475986,0.000115086472887604
